Species,GeneID,GeneName,Elements,Citation(s) - DOI only,Closest species orthologs,Tissue,Comments
A.thaliana,AT1G01340,CNGC10,"K,Ca,Mg",10.1111/j.1399-3054.2010.01366.x,,"Roots,Shoots",NA
A.thaliana,AT1G01580,FRO2,Fe,10.1038/17800,NA,Root,NA
A.thaliana,AT1G07600,MT1A,"Cd,Zn,As",10.1007/s11103-005-8268-3,,Shoots,NA
A.thaliana,AT1G08490,CPNIFS,"Se,S",10.1104/pp.105.068684,,"Roots,shoots",NA
A.thaliana,AT1G12640,LPCAT1,P,10.7554/eLife.32077,,Leaf,NA
A.thaliana,AT1G14040,PHO1;H3,P,10.1093/jxb/ert444,,Shoots,NA
A.thaliana,AT1G14870,PCR2,Zn,10.1105/tpc.109.070185,,Roots,NA
A.thaliana,AT1G18910,BTSL2,"Fe,Mn,Zn",10.1039/c7mt00152e,NA,Leaf,NA
A.thaliana,AT1G20110,FYVE1,"Fe,Zn,Co,Mn",10.1073/pnas.1402262111,NA,Root,NA
A.thaliana,AT1G30270,CIPK23,K,10.1016/j.cell.2006.06.011,,Shoots,NA
A.thaliana,AT1G30400,ABCC1,Cd,10.1111/j.1365-313X.2011.04789.x,,Shoots,NA
A.thaliana,AT1G30450,CCC,"Ca,K,Na,S",10.1371/journal.pone.0063014,,seeds,NA
A.thaliana,AT1G31885,NIP3;1,As,10.1016/j.molp.2015.01.005,,Shoots,NA
A.thaliana,AT1G32450,NRT1.5/NPF7.3,K,10.1105/tpc.16.00972,NA,"Shoots, Roots",NA
A.thaliana,AT1G36370,MSA1,"S, Se",10.1371/journal.pgen.1006298,NA,Shoots,NA
A.thaliana,AT1G56160,MYB72,"Fe,Cd,Zn,Co,Mo",10.1371/journal.pgen.1003953,NA,Leaf,NA
A.thaliana,AT1G56430,NAS4,"Fe,Cd,Co,Mo",10.1371/journal.pgen.1003953,NA,Leaf,NA
A.thaliana,AT1G59870,PEN3,Cd,10.1111/j.1365-313X.2007.03044.x,,"Shoots, roots",PDR8
A.thaliana,AT1G60960,IRT3,Fe,10.1111/j.1469-8137.2009.02766.x,,Roots,NA
A.thaliana,AT1G62180,APR2,"S, Se",10.1038/ng2050; 10.1104/pp.114.247825,NA,Shoots,NA
A.thaliana,AT1G63440,HMA5,Cu,10.1111/j.1365-313X.2005.02601.x,,Shoots,NA
A.thaliana,AT1G66240,AX1,Cu,10.1104/pp.112.195974,,Shoots,NA
A.thaliana,AT1G68320,MYB62,P,10.1093/mp/ssn081,,"Roots,shoots",NA
A.thaliana,AT1G71200,CITF1,Cu,10.1105/tpc.17.00363,NA,"Shoots, Anthers",NA
A.thaliana,AT1G74770,BTSL1,"Fe,Mn,Zn",10.1039/c7mt00152e,NA,Leaf,NA
A.thaliana,AT1G76430,PHT1;9,"P,As",10.1111/j.1469-8137.2012.04167.x,,"Roots,shoots",NA
A.thaliana,AT1G80760,NIP6;1,B,10.1105/tpc.108.058628,,"Leaves,shoots",NA
A.thaliana,AT1G80830,NRAMP1,Mn,10.1105/tpc.109.073023,NA,"Shoots,roots",NA
A.thaliana,AT2G01770,VIT1,Fe,10.1126/science.1132563,O.sativa,Seed,NA
A.thaliana,AT2G01980,SOS1/NHX7,Na,10.1038/nbt766,,Shoots,NA
A.thaliana,AT2G13540,ABH1,S,10.1371/journal.pone.0063014,,seeds,NA
A.thaliana,AT2G16770,bZIP23,Zn,10.1073/pnas.1004788108,NA,"Shoots, roots",NA
A.thaliana,AT2G19110,HMA4,Zn,10.1105/tpc.020487; 10.1038/NPLANTS.2016.36,O.sativa,"Shoots,seeds",NA
A.thaliana,AT2G21045,HAC1,As,10.1371/journal.pbio.1002009,NA,Shoots,NA
A.thaliana,AT2G23150,NRAMP3,"Fe,Mn,Zn",10.1104/pp.109.150946,NA,Shoots,NA
A.thaliana,AT2G23240,MT4b,"Cu,Zn",10.1111/j.1365-3040.2011.02450.x,,Seeds,NA
A.thaliana,AT2G25680,MOT1,Mo,10.1371/journal.pgen.1000004,NA,Leaf,NA
A.thaliana,AT2G28160,FRU,Fe,10.1038/cr.2008.26,,Shoots,FIT1
A.thaliana,AT2G28670,ESB1,"Ca,Mn,Zn,Na,S,K,As,Se,Mo",10.1371/journal.pgen.1000492,NA,Leaf,NA
A.thaliana,AT2G32830,PHT1;5,P,10.1104/pp.111.174805,,Roots,NA
A.thaliana,AT2G33770,PHO2,P,10.1105/tpc.112.096636,,"Roots,shoots",NA
A.thaliana,AT2G37430,ZAT11,Ni,10.1007/s00299-014-1675-7,,Shoots,NA
A.thaliana,AT2G38460,FPN1,Co,10.1105/tpc.109.069401,NA,Leaf,NA
A.thaliana,AT2G38940,PHT1;4,P,10.1111/j.1365-313X.2004.02161.x,,"Roots,shoots",PT2
A.thaliana,AT2G39450,MTP11,Mn,10.1073/pnas.0609507104,NA,"Shoots,Roots",NA
A.thaliana,AT2G42000,MT4a,"Cu,Zn",10.1111/j.1365-3040.2011.02450.x,,Seeds,NA
A.thaliana,AT2G46430,CNGC3,K,10.1093/jxb/erj064,NA,Leaf,NA
A.thaliana,AT2G46800,MTP1,Zn,10.1016/j.febslet.2005.06.046,NA,Shoots,NA
A.thaliana,AT2G47160,BOR1,B,10.1111/j.1365-313X.2006.02763.x,,Shoots,NA
A.thaliana,AT3G01310,VIH2,P,10.7554/eLife.43582,,Shoots,NA
A.thaliana,AT3G06060,TSC10a,"Na,K,Rb,Mg,Ca,Fe,Mo",10.1105/tpc.110.079095,NA,Leaf,NA
A.thaliana,AT3G06100,NIP7,As,10.1002/1873-3468.12103;10.1016/j.febslet.2008.04.022,NA,NA,NA
A.thaliana,AT3G08040,FRD3/MAN1,Mn,10.1104/pp.111.3.849,NA,Leaf,NA
A.thaliana,AT3G12750,ZIP1,Mn,10.1093/jxb/ers315,,Roots,NA
A.thaliana,AT3G12820,MYB10,"Fe,Cd,Zn,Co,Mo",10.1371/journal.pgen.1003953,NA,Leaf,NA
A.thaliana,AT3G13320,CAX2,"Mn,Fe,K,P",10.1371/journal.pone.0047455,,Seed,"*Cited in the paper, but thalemine only has publication available for CAX1"
A.thaliana,AT3G14280,,S,10.1371/journal.pone.0063014,,seeds,NA
A.thaliana,AT3G15380,CTL1,"Na, Fe, Zn, Mn, Mo",10.1371/journal.pbio.2002978,NA,"Shoots, Roots",NA
A.thaliana,AT3G18290,BTS,"Fe,Zn,Mn",10.1039/c7mt00152e,NA,Leaf,NA
A.thaliana,AT3G22890,ATPS1,S,10.1104/pp.113.225748,NA,Shoos,NA
A.thaliana,AT3G23210,bHLH34,Fe,10.1104/pp.15.01827,NA,"roots, shoots",NA
A.thaliana,AT3G23430,PHO1,P,10.1093/jxb/ert444,,Shoots,NA
A.thaliana,AT3G43790,ZIFL2,Cs,10.1093/pcp/pcu157,NA,Leaf,NA
A.thaliana,AT3G47640,PYE,"Fe,Zn,Mn,Co",10.1105/tpc.110.074096,NA,Root,NA
A.thaliana,AT3G47950,AHA4,Na,10.1046/j.1365-313x.2001.01081.x,NA,Root,NA
A.thaliana,AT3G51860,CAX3,"P,K",10.1371/journal.pone.0047455,,Seed,"*Cited in the paper, but thalemine only has publication available for CAX1"
A.thaliana,AT3G51895,SULTR3;1,S,10.1111/tpj.12059,,Leaf,NA
A.thaliana,AT3G56970,bHLH38,Fe,10.1038/cr.2008.26,,Shoots,NA
A.thaliana,AT3G56980,bHLH39,Fe,10.1038/cr.2008.26,,Shoots,NA
A.thaliana,AT3G58060,MTP8,Mn,"10.1104/pp.15.01194, 10.1104/pp.16.01646",NA,"Shoots,seeds",NA
A.thaliana,AT3G58810,MTP3,Zn,10.1111/j.1365-313X.2006.02746.x,NA,Shoots,NA
A.thaliana,AT3G58970,MGT6,Mg,10.1105/tpc.114.124628,,"Roots,Shoots",NA
A.thaliana,AT3G62270,BOR2,B,10.1104/pp.113.225995,,Shoots,NA
A.thaliana,AT4G02780,GA1,Fe,10.1016/j.devcel.2016.03.022,NA,Root,NA
A.thaliana,AT4G10310,HKT1;1,Na,10.1371/journal.pgen.1001193,NA,Leaf,NA
A.thaliana,AT4G10380,NIP5;1,B,10.1105/tpc.106.041640,,"Roots,shoots",NA
A.thaliana,AT4G13420,HAK5,"Rb,Cs",10.1111/j.1399-3054.2008.01168.x;10.1093/jxb/erm330,,Roots,NA
A.thaliana,AT4G14410,bHLH104,Fe,10.1104/pp.15.01827,NA,"roots, shoots",NA
A.thaliana,AT4G16370,OPT3,"Fe,Cd",10.1105/tpc.114.123737,NA,Leaf,NA
A.thaliana,AT4G18910,NIP1;2,Al,10.1073/pnas.1618557114,,Roots,NA
A.thaliana,AT4G19690,IRT1,"Fe,Mn,Co,Cd,Zn",10.1073/pnas.93.11.5624,NA,Root,NA
A.thaliana,AT4G23100,GSH1,"Cd,As",10.1016/j.chemosphere.2008.04.018,,Shoots,NA
A.thaliana,AT4G24120,YSL1,"Fe,Zn,Cu",10.1104/pp.110.90033,NA,NA,NA
A.thaliana,AT4G28610,PHR1,P,10.1111/j.1365-3040.2007.01734.x,,Shoots,NA
A.thaliana,AT4G30110,HMA2,Zn,10.1105/tpc.020487; 10.1038/NPLANTS.2016.36,O.sativa,"Shoots,seeds",NA
A.thaliana,AT4G30120,HMA3,"Cd,Zn",10.1371/journal.pgen.1002923; Salt Lab paper,NA,Leaf,NA
A.thaliana,AT4G33000,CBL10,K,10.1111/tpj.12123,,Shoots,NA
A.thaliana,AT4G35040,bZIP19,Zn,10.1073/pnas.1004788107,NA,"Shoots, roots",NA
A.thaliana,AT4G37270,HMA1,Zn,10.1111/j.1365-313X.2009.03818.x,,Shoots,NA
A.thaliana,AT5G02600,NaKR1,"Na,K,Rb",10.1105/tpc.110.080010,NA,Leaf,NA
A.thaliana,AT5G03455,ACR2,"As,P",10.1073/pnas.0509770102,,"Roots,shoots",NA
A.thaliana,AT5G03570,FPN2,"Co,Ni",10.1105/tpc.109.069401;10.1074/jbc.M601062200,NA,Leaf,IREG2
A.thaliana,AT5G09690,MGT7,Mg,10.1093/jxb/err283,,Shoots,NA
A.thaliana,AT5G13740,ZIF1,"Zn,Fe",10.1105/tpc.111.095042,,Shoots,NA
