"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary/Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivum orthologs","Z.mays orthologs","G.max orthologs","P.trichocarpa orthologs","S.italica orthologs","S.viridis orthologs"
"S.bicolor","Sobic.004G132600",NA,"Se,S",NA,NA,NA,NA,"Inferred","AT1G08490","AT1G08490","Medtr3g083980","","","","Glyma.09G021000,Glyma.15G127400","Potri.009G066000","",""
"S.bicolor","Sobic.005G014700",NA,"Se,S",NA,NA,NA,NA,"Inferred","AT1G08490","AT1G08490","Medtr3g083980","LOC_Os12g18900","Traes_4BS_BD7AF055E","GRMZM2G060470","Glyma.09G021000,Glyma.15G127400","Potri.009G066000","Seita.1G134500","Sevir.1G132950"
"S.bicolor","Sobic.004G283600",NA,"P",NA,NA,NA,NA,"Inferred","AT1G12640","AT1G12640,AT1G63050","Medtr4g102750","LOC_Os02g45344","Traes_6AL_75BA4C59A,Traes_6DL_4E31B8DE8","GRMZM2G481755","Glyma.05G049500,Glyma.17G131500","Potri.001G110100,Potri.003G121700","Seita.1G270400","Sevir.1G275100"
"S.bicolor","Sobic.004G192100",NA,"Zn",NA,NA,NA,NA,"Inferred","AT1G14870","AT1G14870,AT1G14880,AT5G35525","Medtr5g017650,Medtr8g104870","LOC_Os02g36940","","GRMZM2G151230","Glyma.05G236300,Glyma.08G043500","Potri.010G108800,Potri.010G127700","Seita.1G209700","Sevir.1G213100"
"S.bicolor","Sobic.006G107900",NA,"Zn",NA,NA,NA,NA,"Inferred","AT1G14870","AT1G14870,AT1G14880,AT5G35525","Medtr5g017650,Medtr8g104870","","Traes_5BL_6F9A8B375,Traes_5DL_FC4BE42B1","","Glyma.05G236300,Glyma.08G043500","Potri.010G108800,Potri.010G127700","",""
"S.bicolor","Sobic.010G269100",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AT1G20110","AT1G20110","Medtr3g114080","LOC_Os06g50840","","GRMZM2G366402","Glyma.04G023100,Glyma.06G023000","Potri.002G018900,Potri.005G242700","","Sevir.4G295200"
"S.bicolor","Sobic.002G034700",NA,"K",NA,NA,NA,NA,"Inferred","AT1G30270","AT1G30270","Medtr2g049790","LOC_Os07g05620","Traes_2AL_D66EA2EB5,Traes_2BL_A1F2BF8FC,Traes_2DL_2BA772DB5","GRMZM2G013236","Glyma.09G089700","Potri.006G062800,Potri.018G119200,Potri.018G122300","Seita.2G032200","Sevir.2G037000"
"S.bicolor","Sobic.006G219300",NA,"Cd,As",NA,NA,NA,NA,"Inferred","AT1G30400,LOC_Os04g52900","AT1G30400,AT2G34660","Medtr2g019020","LOC_Os04g52900","Traes_2AL_0A38A0EFC,Traes_2DL_5F40C7E14","GRMZM2G084181","Glyma.13G220000,Glyma.15G092400","Potri.011G091200","Seita.7G241100","Sevir.7G252600"
"S.bicolor","Sobic.005G040700",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","","Traes_2AS_58901E0DC,Traes_2DS_6C351FD1B","GRMZM2G113276","Glyma.09G085300,Glyma.15G193400","Potri.011G090900","Seita.5G025700","Sevir.5G024400"
"S.bicolor","Sobic.009G105900",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","LOC_Os08g23440","Traes_5AL_21B739F34,Traes_5BL_0992ADD0A,Traes_5DL_7953B077C","GRMZM2G113276","Glyma.09G085300,Glyma.15G193400","Potri.011G090900","Seita.3G275800","Sevir.3G283200"
