"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary/Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivum orthologs","Z.mays orthologs","G.max orthologs","P.trichocarpa orthologs","S.bicolor orthologs","S.italica orthologs","S.viridis orthologs"
"S.italica","Seita.1G134500",NA,"Se,S",NA,NA,NA,NA,"Inferred","AT1G08490","AT1G08490","Medtr3g083980","LOC_Os12g18900","Traes_4BS_BD7AF055E","GRMZM2G060470","Glyma.09G021000,Glyma.15G127400","Potri.009G066000","Sobic.005G014700,Sobic.005G014700","Seita.1G134500",""
"S.italica","Seita.1G270400",NA,"P",NA,NA,NA,NA,"Inferred","AT1G12640","AT1G12640,AT1G63050","Medtr4g102750","LOC_Os02g45344","Traes_6AL_75BA4C59A,Traes_6DL_4E31B8DE8","GRMZM2G481755","Glyma.05G049500,Glyma.17G131500","Potri.001G110100,Potri.003G121700","Sobic.004G283600,Sobic.004G283600","Seita.1G270400",""
"S.italica","Seita.1G209500",NA,"Zn",NA,NA,NA,NA,"Inferred","AT1G14870","AT1G14870,AT1G14880,AT5G35525","Medtr5g017650,Medtr8g104870","","","","Glyma.05G236200,Glyma.05G236300,Glyma.08G043500","Potri.008G132900,Potri.010G108800","","Seita.1G209500",""
"S.italica","Seita.1G209700",NA,"Zn",NA,NA,NA,NA,"Inferred","AT1G14870","AT1G14870,AT1G14880,AT5G35525","Medtr5g017650,Medtr8g104870","LOC_Os02g36940","","GRMZM2G151230","Glyma.05G236200,Glyma.05G236300,Glyma.08G043500","Potri.008G132900,Potri.010G108800","Sobic.004G192100,Sobic.004G192100","Seita.1G209700",""
"S.italica","Seita.2G363000",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AT1G20110","AT1G20110","Medtr3g114080","LOC_Os07g38580","Traes_2BS_CCA9B58A3","GRMZM2G061156","Glyma.04G023100,Glyma.06G023000","Potri.002G018900,Potri.005G242700","Sobic.002G348600,Sobic.002G348600","Seita.2G363000",""
"S.italica","Seita.2G032200",NA,"K",NA,NA,NA,NA,"Inferred","AT1G30270","AT1G30270","Medtr2g049790","LOC_Os07g05620","Traes_2AL_D66EA2EB5,Traes_2BL_A1F2BF8FC,Traes_2DL_2BA772DB5","GRMZM2G013236","Glyma.09G089700","Potri.006G062800,Potri.018G119200,Potri.018G122300","Sobic.002G034700,Sobic.002G034700","Seita.2G032200",""
"S.italica","Seita.7G241100",NA,"Cd,As",NA,NA,NA,NA,"Inferred","AT1G30400,AT2G34660,LOC_Os04g52900","AT1G30400,AT2G34660","Medtr2g019020","LOC_Os04g52900","Traes_2AL_0A38A0EFC,Traes_2DL_5F40C7E14","GRMZM2G084181","Glyma.13G220000,Glyma.15G092400","Potri.011G091200","Sobic.006G219300,Sobic.006G219300","Seita.7G241100",""
"S.italica","Seita.3G275800",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","LOC_Os08g23440","Traes_5AL_21B739F34,Traes_5BL_0992ADD0A,Traes_5DL_7953B077C","GRMZM2G113276","Glyma.09G085300,Glyma.15G193400","Potri.011G090900","Sobic.009G105900,Sobic.009G105900","Seita.3G275800",""
"S.italica","Seita.5G025700",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","","","GRMZM2G113276","Glyma.09G085300,Glyma.15G193400","Potri.011G090900","Sobic.005G040700,Sobic.005G040700","Seita.5G025700",""
"S.italica","Seita.1G296400",NA,"K,NO3-",NA,NA,NA,NA,"Inferred","AT1G32450","AT1G32450,AT4G21680","Medtr1g116930,Medtr4g098800,Medtr5g014150,Medtr7g005930,Medtr7g010820,Medtr7g013270","LOC_Os02g48570","","GRMZM2G061303","Glyma.01G200100,Glyma.05G070600,Glyma.09G237600,Glyma.09G237700,Glyma.11G042000,Glyma.17G153300,Glyma.18G259900,Glyma.18G260000","Potri.001G145200,Potri.003G088800,Potri.014G179400","Sobic.004G260500,Sobic.004G260500","Seita.1G296400",""
