"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary.Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivumearly-release orthologs","Z.mays orthologs","G.max orthologs","S.bicolor orthologs","S.viridisearly-release orthologs","S.italica orthologs"
"G.max","Glyma.07G067700",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G01580,AT1G01590","Medtr8g028780,Medtr8g028795","LOC_Os04g48930","Traes_2BL_E11AA2D03","","Glyma.07G067700","","",""
"G.max","Glyma.16G033800",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G01580,AT1G01590","Medtr8g028780,Medtr8g028795","LOC_Os04g48930","Traes_2BL_E11AA2D03","","Glyma.16G033800","","",""
"G.max","Glyma.18G235900",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G01580,AT1G01590","","LOC_Os04g48930","Traes_2BL_E11AA2D03","","Glyma.18G235900","","",""
"G.max","Glyma.05G049500",NA,"P",NA,NA,NA,NA,"Inferred","AT1G12640","AT1G12640,AT1G63050","Medtr4g102750","LOC_Os02g45344","Traes_6AL_75BA4C59A,Traes_6BL_891A1BAAE,Traes_6DL_4E31B8DE8","GRMZM2G481755","Glyma.05G049500","Sobic.004G283600","Sevir.1G275100","Seita.1G270400"
"G.max","Glyma.17G131500",NA,"P",NA,NA,NA,NA,"Inferred","AT1G12640","AT1G12640,AT1G63050","Medtr4g102750","LOC_Os02g45344","Traes_6AL_75BA4C59A,Traes_6BL_891A1BAAE,Traes_6DL_4E31B8DE8","GRMZM2G481755","Glyma.17G131500","Sobic.004G283600","Sevir.1G275100","Seita.1G270400"
"G.max","Glyma.17G096900",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT1G18910,AT1G74770","AT1G18910,AT1G74770","Medtr4g107440","","","","Glyma.17G096900","","",""
"G.max","Glyma.04G023100",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AT1G20110","AT1G20110","Medtr3g114080","LOC_Os06g50840","Traes_2AS_19B6321CB,Traes_2BS_CCA9B58A3","GRMZM2G061156","Glyma.04G023100","Sobic.010G269100","Sevir.4G295200","Seita.2G363000"
"G.max","Glyma.06G023000",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AT1G20110","AT1G20110","Medtr3g114080","LOC_Os06g50840","Traes_2AS_19B6321CB,Traes_2BS_CCA9B58A3","GRMZM2G061156","Glyma.06G023000","Sobic.010G269100","Sevir.4G295200","Seita.2G363000"
"G.max","Glyma.09G085300",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","LOC_Os08g23440","Traes_2AS_58901E0DC,Traes_2DS_6C351FD1B,Traes_5AL_21B739F34,Traes_5BL_0992ADD0A,Traes_5DL_7953B077C,Traes_7AS_2BF62E1DE,Traes_7BS_725BE98D0","GRMZM2G113276,GRMZM2G401874","Glyma.09G085300","Sobic.005G040700,Sobic.009G105900","Sevir.3G283200,Sevir.5G024400","Seita.3G275800,Seita.5G025700"
"G.max","Glyma.15G193400",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","LOC_Os08g23440","Traes_2AS_58901E0DC,Traes_2DS_6C351FD1B,Traes_5AL_21B739F34,Traes_5BL_0992ADD0A,Traes_5DL_7953B077C,Traes_7AS_2BF62E1DE,Traes_7BS_725BE98D0","GRMZM2G113276,GRMZM2G401874","Glyma.15G193400","Sobic.005G040700,Sobic.009G105900","Sevir.3G283200,Sevir.5G024400","Seita.3G275800,Seita.5G025700"
