Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
Seita.6G117400,scaffold_6,19479689,19482448,PF07714//PF13855 - Protein tyrosine kinase (Pkinase_Tyr)  // Leucine rich repeat (LRR_8)  (1 of 14)
Seita.6G057200,scaffold_6,4589263,4593569,PTHR10809:SF50 - VESICLE-ASSOCIATED PROTEIN 1-1-RELATED (1 of 2)
Seita.3G138800,scaffold_3,9685794,9690404,1.1.1.42 - Isocitrate dehydrogenase (NADP(+)) / oxalosuccinate carboxylase (1 of 3)
Seita.4G162800,scaffold_4,25045258,25047890,
Seita.1G342900,scaffold_1,39888205,39889280,
Seita.8G019800,scaffold_8,1117859,1120490,PF00249 - Myb-like DNA-binding domain (Myb_DNA-binding)  (1 of 247)
Seita.9G277100,scaffold_9,25254528,25256757,
Seita.9G279500,scaffold_9,27708682,27711731,3.4.22.68 - Ulp1 peptidase / Ulp1 protease (1 of 52)
Seita.7G050200,scaffold_7,14506135,14508065,PTHR11926//PTHR11926:SF391 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED (1 of 1)
Seita.9G409600,scaffold_9,46808047,46811092,PF00069//PF00560//PF13855 - Protein kinase domain (Pkinase)  // Leucine Rich Repeat (LRR_1)  // Leucine rich repeat (LRR_8)  (1 of 8)
Seita.1G148300,scaffold_1,18040002,18042157,
Seita.8G068400,scaffold_8,6882707,6887540,PTHR23155//PTHR23155:SF484 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 32)
Seita.5G210300,scaffold_5,26987573,26992219,K12355 - coniferyl-aldehyde dehydrogenase (REF1)  (1 of 3)
Seita.9G058100,scaffold_9,3360643,3361449,PF07893 - Protein of unknown function (DUF1668) (DUF1668)  (1 of 90)
Seita.4G006200,scaffold_4,418946,422351,PTHR23029:SF26 - PROTEIN Y18H1A.4-RELATED (1 of 1)
Seita.1G212500,scaffold_1,29124614,29125117,PTHR31174//PTHR31174:SF5 - SEED MATURATION FAMILY PROTEIN // SUBFAMILY NOT NAMED (1 of 3)
