Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
Medtr4g119130,chr4,49338299,49338532,
Medtr0227s0030,scaffold0227,9378,18873,
Medtr4g119420,chr4,49466962,49468862,PF01535//PF13041//PF13812//PF14432 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  // DYW family of nucleic acid deaminases (DYW_deaminase)  (1 of 19)
Medtr2g044660,chr2,19394070,19396660,PTHR31707:SF3 - PECTINESTERASE/PECTINESTERASE INHIBITOR 13-RELATED (1 of 13)
Medtr0652s0020,scaffold0652,3598,7157,PF12854//PF13041 - PPR repeat (PPR_1)  // PPR repeat family (PPR_2)  (1 of 34)
Medtr1006s0020,scaffold1006,1614,3442,
Medtr7g085410,chr7,33074852,33076091,PTHR10071//PTHR10071:SF161 - TRANSCRIPTION FACTOR GATA  GATA BINDING FACTOR // SUBFAMILY NOT NAMED (1 of 2)
Medtr4g101660,chr4,42023461,42026521,PF04690 - YABBY protein (YABBY)  (1 of 6)
Medtr8g012400,chr8,3529720,3533281,
Medtr7g050480,chr7,16839159,16840334,PF00646 - F-box domain (F-box)  (1 of 811)
Medtr1g075470,chr1,33426078,33426590,PTHR11527:SF135 - 22.0 KDA HEAT SHOCK PROTEIN (1 of 7)
Medtr4g040440,chr4,14499454,14502895,
Medtr6g081380,chr6,30463544,30463777,
Medtr8g067420,chr8,28143499,28151636,
Medtr6g084580,chr6,31694227,31701424,K08492 - syntaxin 18 (STX18)  (1 of 1)
Medtr3g009160,chr3,1815449,1826551,
Medtr1g105750,chr1,47710702,47713624,PTHR27002:SF122 - CYSTEINE-RICH RECEPTOR-LIKE PROTEIN KINASE 28-RELATED (1 of 21)
Medtr1g068830,chr1,29402918,29416497,K10696 - E3 ubiquitin-protein ligase BRE1 [EC:6.3.2.19] (BRE1)  (1 of 3)
Medtr1g036210,chr1,13247644,13248117,
Medtr2g029300,chr2,10930336,10936870,PTHR11649:SF65 - PROTEIN ROOT HAIR DEFECTIVE 3 HOMOLOG 2 (1 of 2)
Medtr4g112080,chr4,46159496,46164717,
