"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary/Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivum orthologs","Z.mays orthologs","G.max orthologs","P.trichocarpa orthologs","S.bicolor orthologs","S.italica orthologs","S.viridis orthologs"
"V.vinifera","GSVIVG01026991001",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G23020,AT1G01590,AT1G01580","","LOC_Os04g48930","Traes_2BL_E11AA2D03","","","Potri.014G088000","","",""
"V.vinifera","GSVIVG01028874001",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G23020,AT1G01590,AT1G01580","Medtr8g028795,Medtr8g028780","LOC_Os04g48930","Traes_2BL_E11AA2D03","","Glyma.10G231700","","","",""
"V.vinifera","GSVIVG01026993001",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G23020,AT1G01590,AT1G01580","","LOC_Os04g48930","Traes_2BL_E11AA2D03","","","Potri.014G088000","","",""
"V.vinifera","GSVIVG01037384001",NA,"Se,S",NA,NA,NA,NA,"Inferred","AT1G08490","AT1G08490","Medtr3g083980","LOC_Os12g18900","","GRMZM2G060470","Glyma.15G127400","Potri.009G066000","Sobic.005G014700,Sobic.004G132600","Seita.1G134500","Sevir.1G132950"
"V.vinifera","GSVIVG01019857001",NA,"P",NA,NA,NA,NA,"Inferred","AT1G12640","AT1G63050,AT1G12640","Medtr4g102750","LOC_Os02g45344","Traes_6DL_4E31B8DE8,Traes_6AL_75BA4C59A","GRMZM2G481755","Glyma.17G131500,Glyma.05G049500","Potri.003G121700,Potri.001G110100","Sobic.004G283600","Seita.1G270400","Sevir.1G275100"
"V.vinifera","GSVIVG01003225001",NA,"P",NA,NA,NA,NA,"Inferred","AT1G14040","AT2G03260,AT2G03240,AT1G14040","Medtr7g011330,Medtr7g011350,Medtr2g045780","","","","Glyma.20G032400,Glyma.20G031700,Glyma.20G032600,Glyma.20G032500","Potri.010G164900,Potri.010G165300,Potri.008G090400","","",""
"V.vinifera","GSVIVG01003219001",NA,"P",NA,NA,NA,NA,"Inferred","AT1G14040","AT2G03260,AT2G03240,AT1G14040","Medtr7g011330,Medtr7g011350,Medtr2g045780","","","","Glyma.20G032400,Glyma.20G031700,Glyma.20G032600,Glyma.20G032500","","","",""
"V.vinifera","GSVIVG01004438001",NA,"P",NA,NA,NA,NA,"Inferred","AT1G14040","AT2G03260,AT2G03240,AT1G14040","Medtr7g011330,Medtr7g011350,Medtr2g045780","","","","Glyma.20G032400,Glyma.20G031700,Glyma.20G032600,Glyma.20G032500","Potri.010G164900,Potri.010G165300,Potri.008G090400","","",""
"V.vinifera","GSVIVG01003226001",NA,"P",NA,NA,NA,NA,"Inferred","AT1G14040","AT2G03260,AT2G03240,AT1G14040","Medtr7g011330,Medtr7g011350,Medtr2g045780","","","","","","","",""
"V.vinifera","GSVIVG01011687001",NA,"Zn",NA,NA,NA,NA,"Inferred","AT1G14870","AT1G14870,AT5G35525,AT1G14880","Medtr8g104870,Medtr5g017650","LOC_Os02g36940,LOC_Os02g36950","Traes_2BS_D0A3AF6AD,Traes_5BL_6F9A8B375,Traes_2BS_4A41718C5,Traes_5DL_FC4BE42B1,Traes_5BS_99957C738,Traes_2AS_B15570FD6","GRMZM2G151230","Glyma.08G043500,Glyma.05G236300,Glyma.05G236200","Potri.010G108800,Potri.008G132900","Sobic.004G192100","Seita.1G209700,Seita.1G209500","Sevir.1G212900"
"V.vinifera","GSVIVG01011926001",NA,"Zn",NA,NA,NA,NA,"Inferred","AT1G14870","AT1G14870,AT5G35525,AT1G14880","Medtr8g104890","LOC_Os02g36940,LOC_Os02g36950","Traes_2BS_D0A3AF6AD,Traes_5BL_6F9A8B375,Traes_2BS_4A41718C5,Traes_5DL_FC4BE42B1,Traes_5BS_99957C738,Traes_2AS_B15570FD6","GRMZM2G151230","","Potri.010G127700","Sobic.004G192100","Seita.1G209700,Seita.1G209500",""
"V.vinifera","GSVIVG01011690001",NA,"Zn",NA,NA,NA,NA,"Inferred","AT1G14870","AT1G14870,AT5G35525,AT1G14880","","","Traes_2BS_D0A3AF6AD,Traes_5BL_6F9A8B375,Traes_2BS_4A41718C5,Traes_5DL_FC4BE42B1,Traes_5BS_99957C738,Traes_2AS_B15570FD6","","","Potri.008G132800","Sobic.004G192100","","Sevir.1G212900"
"V.vinifera","GSVIVG01011692001",NA,"Zn",NA,NA,NA,NA,"Inferred","AT1G14870","AT1G14870,AT5G35525,AT1G14880","","","Traes_2BS_D0A3AF6AD,Traes_5BL_6F9A8B375,Traes_2BS_4A41718C5,Traes_5DL_FC4BE42B1,Traes_5BS_99957C738,Traes_2AS_B15570FD6","","","Potri.008G132800","Sobic.004G192100","","Sevir.1G212900"
"V.vinifera","GSVIVG01009956001",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AT1G20110","AT1G20110","Medtr3g114080","LOC_Os07g38580,LOC_Os06g50840","Traes_2AS_19B6321CB,Traes_2BS_CCA9B58A3","GRMZM2G061156","Glyma.06G023000,Glyma.04G023100","Potri.002G018900","Sobic.010G269100","Seita.2G363000","Sevir.4G295200"
"V.vinifera","GSVIVG01021541001",NA,"K",NA,NA,NA,NA,"Inferred","AT1G30270","AT1G30270","Medtr2g049790","LOC_Os07g05620","Traes_2AL_D66EA2EB5,Traes_2BL_A1F2BF8FC,Traes_2DL_2BA772DB5","GRMZM2G013236","","Potri.018G122300,Potri.018G119200,Potri.006G062800","Sobic.002G034700","Seita.2G032200","Sevir.2G037000"
"V.vinifera","GSVIVG01021589001",NA,"Cd,As",NA,NA,NA,NA,"Inferred","AT1G30400,LOC_Os04g52900","AT2G34660,AT1G30400","Medtr2g019020","LOC_Os04g52900","Traes_2AL_0A38A0EFC","GRMZM2G084181","Glyma.13G220000","","Sobic.006G219300","Seita.7G241100","Sevir.7G252600"
"V.vinifera","GSVIVG01021607001",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","LOC_Os08g23440","Traes_5BL_0992ADD0A,Traes_7DS_54B335225,Traes_5AL_21B739F34,Traes_2DS_6C351FD1B,Traes_7BS_725BE98D0,Traes_5DL_7953B077C,Traes_7AS_2BF62E1DE,Traes_2AS_58901E0DC","GRMZM2G113276,GRMZM2G401874","Glyma.09G085300","Potri.001G357600,Potri.011G090900","Sobic.009G105900","Seita.5G025700,Seita.3G275800","Sevir.3G283200,Sevir.5G024400"
"V.vinifera","GSVIVG01018395001",NA,"K,NO3-",NA,NA,NA,NA,"Inferred","AT1G32450","AT1G32450","Medtr5g014150,Medtr4g098800","LOC_Os02g48570","Traes_6DL_0A59B823C,Traes_6AL_168121E7E","GRMZM2G061303","Glyma.11G042000,Glyma.05G070600,Glyma.17G153300","Potri.001G145200,Potri.003G088800","Sobic.004G260500","Seita.1G296400","Sevir.1G301800"
"V.vinifera","GSVIVG01008954001",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G36370","AT1G36370,AT1G22020","Medtr2g006570","LOC_Os05g35440,LOC_Os01g65410","","GRMZM2G452630","","Potri.002G090200,Potri.005G170800","Sobic.003G373600","Seita.5G398800","Sevir.5G404100"
"V.vinifera","GSVIVG01029178001",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430,LOC_Os03g19420","AT1G09240,AT5G56080,AT1G56430,AT5G04950","Medtr2g070310,Medtr1g084050,Medtr7g112130,Medtr2g034240","LOC_Os03g19420,LOC_Os03g19427,LOC_Os07g48980","Traes_3B_3AC6B469E,Traes_6AS_89FA598FB","GRMZM2G050108,GRMZM2G030036,GRMZM2G478568,AC233955.1_FG003,GRMZM2G124785,GRMZM2G439195,GRMZM2G385200,GRMZM2G312481,GRMZM2G034956,GRMZM2G704488","","Potri.018G094600,Potri.005G014300,Potri.004G193400,Potri.005G017300,Potri.010G143100","Sobic.001G395900,Sobic.001G151400","Seita.2G440200,Seita.9G045300,Seita.9G429600","Sevir.2G452700,Sevir.9G044800"
"V.vinifera","GSVIVG01016999001",NA,"Cd",NA,NA,NA,NA,"Inferred","AT1G59870","AT1G59870,AT1G15210","Medtr8g014360","LOC_Os06g36090","Traes_3DL_94539BFE91,Traes_3AL_D6ED281BC,Traes_3DL_94539BFE9","GRMZM2G029506,GRMZM2G366146","Glyma.07G015800","Potri.001G189500,Potri.003G049600","Sobic.010G165500","Seita.4G181500","Sevir.4G150000"
"V.vinifera","GSVIVG01035402001",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G60960","AT1G60960,AT1G10970","Medtr1g016120","LOC_Os06g37010,LOC_Os05g10940","Traes_7DL_24CBFF460","GRMZM2G015955,GRMZM2G064382","Glyma.06G052000","","Sobic.009G073100,Sobic.010G171300","Seita.3G112800","Sevir.4G249800"
"V.vinifera","GSVIVG01030440001",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G62180","AT1G62180,AT4G21990,AT4G04610","Medtr2g023540","LOC_Os07g32570","Traes_2DS_46D766017,Traes_2BS_DDCEEE1DE","AC189750.4_FG004,GRMZM2G087254","Glyma.09G004400,Glyma.07G261500","Potri.004G012100,Potri.T104400","Sobic.002G314300","Seita.2G327500","Sevir.2G338800"
"V.vinifera","GSVIVG01008303001",NA,"P",NA,NA,NA,NA,"Inferred","AT1G68320","AT1G68320,AT1G25340","","LOC_Os01g03720","","GRMZM2G096358,GRMZM2G162709","Glyma.08G042100,Glyma.05G234600","Potri.015G046200,Potri.012G055600","Sobic.002G423300","Seita.5G087200","Sevir.5G085400"
"V.vinifera","GSVIVG01011872001",NA,"P",NA,NA,NA,NA,"Inferred","AT1G68320","AT1G68320,AT1G25340","Medtr1g110460","LOC_Os01g03720","","GRMZM2G096358,GRMZM2G162709","Glyma.20G117000,Glyma.10G273000","Potri.010G123000,Potri.008G122100","Sobic.002G423300","Seita.5G087200","Sevir.2G450800"
"V.vinifera","GSVIVG01022881001",NA,"Cu",NA,NA,NA,NA,"Inferred","AT1G71200","AT1G71200","","","","","","","","",""
"V.vinifera","GSVIVG01034224001",NA,"B",NA,NA,NA,NA,"Inferred","AT1G80760","AT1G80760","Medtr2g104940,Medtr4g006730","","","","Glyma.08G217400,Glyma.15G003900","Potri.003G180900","","",""
"V.vinifera","GSVIVG01034237001",NA,"Mn",NA,NA,NA,NA,"Inferred","AT1G80830","AT1G80830,AT1G15960","Medtr2g104990","LOC_Os06g46310","Traes_7BL_CA6B7C9E6,Traes_7AL_08B2A7BB2","GRMZM2G069198","Glyma.15G003500","","Sobic.010G227800","Seita.4G263200","Sevir.4G276100"
"V.vinifera","GSVIVG01011628001",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","AT2G01770,LOC_Os04g38940,LOC_Os09g23300","AT2G01770","Medtr8g105790,Medtr8g105810","LOC_Os09g23300,LOC_Os04g38940","Traes_5DL_DA6449AC6,Traes_2DL_B37EC8078,Traes_5BL_7CE3EDE29,Traes_2BL_54954138A,Traes_2AL_A3A25F40E","GRMZM2G107306,GRMZM2G074672","Glyma.08G047500,Glyma.05G240600","Potri.010G104100","Sobic.006G109000","Seita.7G126700","Sevir.7G134800"
"V.vinifera","GSVIVG01011573001",NA,"Na",NA,NA,NA,NA,"Inferred","AT2G01980","AT2G01980","","LOC_Os12g44360","","GRMZM2G098494","Glyma.08G092000","","Sobic.008G192900","Seita.3G409000","Sevir.3G427000"
"V.vinifera","GSVIVG01037230001",NA,"S",NA,NA,NA,NA,"Inferred","AT2G13540","AT2G13540","Medtr7g083840","LOC_Os03g22570","Traes_4BS_9831A28AE","GRMZM2G083689","Glyma.16G049600,Glyma.19G101600","","Sobic.001G373800","Seita.9G406000","Sevir.9G409800"
"V.vinifera","GSVIVG01024024001",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G16770,AT4G35040","AT4G35040,AT2G16770","","","","","","","","",""
"V.vinifera","GSVIVG01010896001",NA,"Zn,Cd",NA,NA,NA,NA,"Inferred","AT2G19110,AT4G30110,LOC_Os07g12900","AT4G30110,AT2G19110","Medtr4g127580","LOC_Os07g12900","Traes_5BL_D6C3DC326","GRMZM2G099191","Glyma.17G060400","Potri.006G076900","Sobic.010G250900","Seita.4G242300","Sevir.4G255000"
