Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
Sevir.7G164800,Chr_07,23258401,23259980,(1 of 3) PTHR10168//PTHR10168:SF103 - GLUTAREDOXIN // SUBFAMILY NOT NAMED
Sevir.3G153100,Chr_03,10583196,10592231,(1 of 2) PTHR24067:SF97 - UBIQUITIN-CONJUGATING ENZYME E2 24-RELATED
Sevir.5G058400,Chr_05,4620620,4621716,
Sevir.7G089600,Chr_07,17737989,17746923,
Sevir.4G242500,Chr_04,34488855,34494488,(1 of 2) PTHR10625//PTHR10625:SF127 - HISTONE DEACETYLASE // SUBFAMILY NOT NAMED
Sevir.8G201300,Chr_08,34132530,34134446,(1 of 9) 3.1.1.26 - Galactolipase
Sevir.1G134900,Chr_01,13508875,13509257,
Sevir.4G039200,Chr_04,2916240,2927826,(1 of 1) PTHR11200//PTHR11200:SF131 - INOSITOL 5-PHOSPHATASE // SUBFAMILY NOT NAMED
Sevir.6G101200,Chr_06,23669601,23672987,(1 of 1) PTHR10627//PTHR10627:SF43 - SCP160 // SUBFAMILY NOT NAMED
Sevir.1G028200,Chr_01,2452855,2457689,
Sevir.6G085300,Chr_06,7965537,7968686,(1 of 2) 3.3.1.1 - Adenosylhomocysteinase / SAHase
Sevir.3G090600,Chr_03,5874139,5883227,
Sevir.7G032858,Chr_07,908959,910263,
Sevir.9G336500,Chr_09,37439497,37444090,
Sevir.1G230900,Chr_01,30269702,30270883,(1 of 26) PF08263//PF13855 - Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)
Sevir.4G289800,Chr_04,38559207,38561133,(1 of 19) PF00643 - B-box zinc finger (zf-B_box)
Sevir.7G196033,Chr_07,25343353,25343610,
Sevir.2G212700,Chr_02,29493340,29494228,(1 of 15) PF04770 - ZF-HD protein dimerisation region (ZF-HD_dimer)
Sevir.2G012000,Chr_02,913792,918039,(1 of 5) PTHR23155//PTHR23155:SF537 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Sevir.4G116201,Chr_04,10969891,10970133,
Sevir.8G020500,Chr_08,119614,120389,(1 of 3) PTHR24326:SF115 - WUSCHEL-RELATED HOMEOBOX 3
Sevir.6G123300,Chr_06,19371674,19377802,
Sevir.4G299400,Chr_04,39215004,39216801,(1 of 16) PF05212 - Protein of unknown function (DUF707) (DUF707)
Sevir.3G258800,Chr_03,20779562,20780184,
Sevir.2G015800,Chr_02,1269430,1274060,
Sevir.2G106200,Chr_02,9858373,9859025,
Sevir.5G341900,Chr_05,37918777,37923360,(1 of 3) KOG2659 - LisH motif-containing protein
Sevir.5G093900,Chr_05,7588841,7592760,(1 of 2) 4.2.1.113 - o-succinylbenzoate synthase / OSBS
Sevir.2G173800,Chr_02,24171072,24181654,(1 of 172) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2)
Sevir.9G000500,Chr_09,38278,39508,(1 of 4) PTHR13943//PTHR13943:SF44 - HRAS-LIKE SUPPRESSOR - RELATED // SUBFAMILY NOT NAMED
Sevir.1G072800,Chr_01,6679519,6682507,(1 of 1) PTHR37220:SF1 - O-FUCOSYLTRANSFERASE FAMILY PROTEIN
Sevir.3G095500,Chr_03,6313277,6321029,
Sevir.8G196800,Chr_08,33713278,33714611,
Sevir.5G314100,Chr_05,35798347,35804976,
Sevir.2G315000,Chr_02,38617869,38623502,
Sevir.9G353100,Chr_09,39066526,39070697,
Sevir.5G028200,Chr_05,2074946,2081504,"(1 of 1) PTHR11735//PTHR11735:SF12 - O-SIALOGLYCOPROTEIN ENDOPEPTIDASE // TRNA N6-ADENOSINE THREONYLCARBAMOYLTRANSFERASE, MITOCHONDRIAL-RELATED"
Sevir.2G300200,Chr_02,37349481,37352747,(1 of 1) PTHR11071//PTHR11071:SF203 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE // PEPTIDYL-PROLYL CIS-TRANS ISOMERASE
Sevir.1G247500,Chr_01,31794398,31800756,
Sevir.7G317100,Chr_07,33903934,33907553,(1 of 5) K14641 - apyrase (APY1_2)
Sevir.2G395500,Chr_02,44095923,44105410,(1 of 1) K06877 - DEAD/DEAH box helicase domain-containing protein (K06877)
Sevir.8G245100,Chr_08,39049793,39050904,
Sevir.1G043000,Chr_01,4101957,4103998,
Sevir.9G166100,Chr_09,11168616,11170631,(1 of 158) PF00010 - Helix-loop-helix DNA-binding domain (HLH)
Sevir.3G411700,Chr_03,49091251,49093894,
Sevir.1G218100,Chr_01,29289745,29293422,
Sevir.2G272800,Chr_02,35274724,35277307,(1 of 4) PF03188//PF04526 - Eukaryotic cytochrome b561 (Cytochrom_B561) // Protein of unknown function (DUF568) (DUF568)
Sevir.9G298300,Chr_09,32050978,32052931,
Sevir.7G215600,Chr_07,26769034,26771607,
Sevir.1G190900,Chr_01,26793354,26797571,
Sevir.6G060300,Chr_06,5296915,5301518,
Sevir.1G200500,Chr_01,27643176,27647596,
Sevir.1G372300,Chr_01,40917714,40922710,(1 of 1) PTHR21717//PTHR21717:SF24 - TELOMERIC REPEAT BINDING PROTEIN // SUBFAMILY NOT NAMED
Sevir.4G148900,Chr_04,28468002,28470336,(1 of 4) PF05676 - NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7) (NDUF_B7)
Sevir.2G097700,Chr_02,8691958,8697299,(1 of 1) PTHR22572//PTHR22572:SF103 - SUGAR-1-PHOSPHATE GUANYL TRANSFERASE // SUBFAMILY NOT NAMED
Sevir.1G060850,Chr_01,5567643,5567774,
Sevir.8G141600,Chr_08,25317487,25318975,
Sevir.5G370900,Chr_05,39864886,39865313,(1 of 1) PTHR22814:SF60 - HEAVY METAL TRANSPORT/DETOXIFICATION SUPERFAMILY PROTEIN
Sevir.2G058600,Chr_02,4648931,4651371,"(1 of 93) PF04578//PF13968 - Protein of unknown function, DUF594 (DUF594) // Domain of unknown function (DUF4220) (DUF4220)"
Sevir.2G270100,Chr_02,35106253,35109768,(1 of 1) PTHR10504//PTHR10504:SF90 - BACTERICIDAL PERMEABILITY-INCREASING  BPI  PROTEIN-RELATED // SUBFAMILY NOT NAMED
Sevir.4G302700,Chr_04,39380009,39380560,(1 of 6) 3.4.21.83 - Oligopeptidase B / Protease II
